,Ocupação,Celular,Microcomputador,Internet no Comp,Internet no Celular,3G ou 4G,Banda Larga
17716,Cedido-Outros,Sim,Sim,Sim,Sim,Sim,Sim
17846,Próprio-Pago,Sim,Nao,,,,
18098,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
18112,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
18129,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
18136,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
18145,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
18155,Alugado,Sim,Sim,Sim,Sim,Sim,Sim
18243,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
18284,Alugado,Sim,Nao,,Sim,Sim,Não
18292,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Não
18404,Próprio-Pago,Sim,Nao,,,,
18446,Alugado,Sim,Sim,Sim,Sim,Sim,Sim
18451,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
18684,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Não
18825,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
18874,Próprio-Pago,Sim,Sim,Não,Sim,Não,Sim
19051,Alugado,Sim,Sim,Não,,,
19056,Próprio-Pago,Sim,Nao,,,,
19182,Próprio-Pago,Sim,Sim,Sim,Não,Não,Sim
19270,Próprio-Pago,Nao,Nao,,,,
19288,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Não
19361,Próprio-Pago,Sim,Sim,Sim,Não,Sim,Não
19541,Próprio-Pago,Sim,Nao,,Sim,Não,Sim
19948,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
19985,Alugado,Sim,Nao,,,,
20007,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
20008,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
20030,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
20057,Alugado,Sim,Sim,Não,Sim,Sim,Não
20066,Alugado,Sim,Sim,Sim,Sim,Não,Sim
20111,Próprio-Pago,Sim,Sim,Não,,,
20181,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
20196,Próprio-Pago,Sim,Nao,,,,
20367,Próprio-Pago,Nao,Nao,,,,
20399,Próprio-Pago,Sim,Nao,,,,
20446,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
20490,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
20497,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
20567,Cedido-Outros,Sim,Nao,,Sim,Sim,Sim
20670,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
20948,Próprio-Pago,Sim,Sim,Sim,Não,Sim,Não
21002,Alugado,Sim,Sim,Sim,Sim,Sim,Sim
21052,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
21054,Alugado,Sim,Sim,Sim,Sim,Sim,Não
21062,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
21067,Próprio-NPago,Sim,Sim,Sim,Sim,Sim,Sim
21074,Alugado,Sim,Sim,Não,Sim,Sim,Não
21075,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
21080,Próprio-NPago,Sim,Sim,Sim,Sim,Sim,Sim
21085,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
21086,Alugado,Sim,Nao,,,,
21105,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Não
21122,Próprio-NPago,Sim,Sim,Sim,Sim,Sim,Sim
21132,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
21203,Próprio-NPago,Sim,Sim,Sim,Sim,Sim,Sim
21218,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
21223,Alugado,Sim,Sim,Sim,Sim,Sim,Sim
21247,Próprio-Pago,Sim,Nao,,,,
21285,Alugado,Sim,Sim,Sim,Sim,Sim,Não
21286,Alugado,Sim,Sim,Sim,Sim,Sim,Sim
21300,Alugado,Sim,Sim,Sim,Sim,Sim,Sim
21301,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
21309,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
21310,Alugado,Sim,Nao,,,,
21362,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
21374,Próprio-NPago,Sim,Sim,Sim,Sim,Sim,Sim
21777,Alugado,Sim,Sim,Sim,Sim,Não,Sim
22311,Próprio-Pago,Sim,Nao,,Sim,Não,Sim
22579,Próprio-Pago,Sim,Nao,,Sim,Sim,Não
22636,Próprio-Pago,Sim,Nao,,Sim,Sim,Sim
23054,Próprio-Pago,Sim,Nao,,,,
23137,Próprio-Pago,Sim,Sim,Não,Sim,Sim,Não
23811,Alugado,Sim,Nao,,,,
23819,Próprio-NPago,Sim,Sim,Sim,Sim,Sim,Sim
23821,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
23824,Próprio-Pago,Sim,Sim,Não,Sim,Sim,Não
23829,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
23831,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
23834,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
23838,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
23843,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
23850,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
23853,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
23857,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
23877,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
23948,Próprio-Pago,Sim,Nao,,Sim,Sim,Sim
23954,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
24039,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
24066,Alugado,Sim,Nao,,,,
24077,Próprio-Pago,Sim,Sim,Não,,,
24163,Próprio-NPago,Sim,Sim,Sim,Sim,Não,Sim
24164,Alugado,Sim,Sim,Não,Sim,Sim,Não
24186,Próprio-NPago,Sim,Sim,Sim,Sim,Sim,Sim
24196,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
24255,Próprio-NPago,Sim,Nao,,Sim,Sim,Não
24260,Alugado,Sim,Sim,Sim,Sim,Sim,Sim
24262,Próprio-NPago,Sim,Sim,Sim,Sim,Sim,Sim
24263,Próprio-NPago,Sim,Sim,Sim,Sim,Sim,Sim
24290,Alugado,Sim,Sim,Sim,Sim,Sim,Sim
24291,Próprio-Pago,Sim,Sim,Sim,Não,Não,Sim
24301,Alugado,Sim,Sim,Não,Sim,Sim,Não
24679,Alugado,Sim,Nao,,,,
24683,Próprio-Pago,Sim,Sim,Não,,,
24688,Alugado,Sim,Sim,Sim,Sim,Sim,Sim
25128,Próprio-Pago,Sim,Nao,,,,
25211,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
25212,Alugado,Sim,Sim,Sim,Sim,Sim,Sim
25263,Próprio-Pago,Sim,Sim,Não,,,
25285,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
25286,Próprio-Pago,Sim,Nao,,Não,Não,Sim
25488,Próprio-Pago,Sim,Nao,,Sim,Sim,Não
25757,Alugado,Sim,Sim,Sim,Sim,Não,Sim
25831,Próprio-Pago,Sim,Nao,,Sim,Sim,Sim
26043,Próprio-Pago,Sim,Nao,,,,
26320,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
26359,Alugado,Sim,Sim,Sim,Sim,Não,Sim
26419,Próprio-Pago,Sim,Nao,,Sim,Sim,Não
26478,Alugado,Sim,Sim,Sim,Sim,Sim,Sim
