,Ocupação,Celular,Microcomputador,Internet no Comp,Internet no Celular,3G ou 4G,Banda Larga
128674,Alugado,Sim,Sim,Sim,Sim,Sim,Sim
128678,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
128680,Próprio-Pago,Sim,Sim,Sim,Não,Não,Sim
128684,Próprio-NPago,Sim,Sim,Sim,Sim,Sim,Sim
128685,Próprio-NPago,Sim,Sim,Sim,Sim,Sim,Sim
128693,Alugado,Sim,Sim,Sim,Sim,Sim,Sim
128698,Próprio-Pago,Nao,Sim,Não,,,
128700,Alugado,Sim,Nao,,Sim,Sim,Não
128704,Alugado,Sim,Sim,Sim,Sim,Não,Sim
128706,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
128708,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
128710,Próprio-NPago,Sim,Sim,Sim,Sim,Não,Sim
128712,Próprio-NPago,Sim,Sim,Sim,Sim,Sim,Sim
128718,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Não
128719,Alugado,Sim,Nao,,Sim,Não,Sim
128720,Próprio-NPago,Sim,Sim,Sim,Sim,Sim,Sim
128727,Próprio-NPago,Sim,Sim,Sim,Sim,Não,Sim
128728,Alugado,Sim,Sim,Sim,Sim,Não,Sim
128731,Próprio-NPago,Sim,Sim,Sim,Sim,Sim,Sim
128732,Próprio-NPago,Sim,Nao,,,,
128734,Próprio-Pago,Sim,Sim,Sim,Não,Não,Sim
128736,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
128739,Próprio-NPago,Sim,Sim,Sim,Sim,Não,Sim
128743,Alugado,Sim,Sim,Sim,Sim,Sim,Sim
128748,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
128751,Próprio-NPago,Sim,Sim,Sim,Sim,Sim,Sim
128760,Próprio-Pago,Nao,Nao,,,,
128761,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
128764,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
128771,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
128772,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
128777,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
128779,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
128783,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
128785,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
128827,Alugado,Sim,Sim,Sim,Sim,Sim,Sim
128834,Alugado,Sim,Sim,Sim,Sim,Sim,Não
128839,Próprio-NPago,Sim,Sim,Sim,Sim,Sim,Sim
128842,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
128866,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
128890,Próprio-NPago,Sim,Sim,Sim,Sim,Sim,Sim
128894,Próprio-NPago,Sim,Sim,Sim,Sim,Sim,Sim
128899,Próprio-NPago,Sim,Sim,Sim,Sim,Não,Sim
128901,Alugado,Sim,Sim,Sim,Sim,Sim,Sim
128903,Próprio-NPago,Sim,Sim,Sim,Sim,Sim,Sim
128904,Próprio-NPago,Sim,Sim,Sim,Sim,Sim,Sim
128905,Alugado,Sim,Sim,Sim,Sim,Sim,Sim
128908,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
128910,Próprio-NPago,Sim,Sim,Sim,Sim,Sim,Sim
128918,Próprio-NPago,Sim,Sim,Sim,Sim,Não,Sim
128921,Próprio-Pago,Sim,Nao,,Sim,Sim,Não
128923,Próprio-NPago,Sim,Sim,Sim,Sim,Não,Sim
128975,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
129066,Alugado,Sim,Sim,Sim,Sim,Não,Sim
129084,Alugado,Sim,Sim,Sim,Sim,Sim,Sim
129087,Próprio-Pago,Sim,Nao,,,,
129088,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
129100,Próprio-Pago,Sim,Sim,Sim,Não,Não,Sim
129101,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
129108,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
129115,Alugado,Sim,Sim,Sim,Sim,Sim,Sim
129157,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
129162,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
129188,Próprio-NPago,Sim,Sim,Sim,Sim,Sim,Sim
129189,Próprio-NPago,Sim,Sim,Sim,Sim,Não,Sim
129212,Próprio-Pago,Sim,Sim,Sim,Não,Não,Sim
129214,Próprio-NPago,Sim,Sim,Sim,Sim,Sim,Sim
129235,Próprio-Pago,Sim,Nao,,,,
129241,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
129242,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
129243,Próprio-Pago,Sim,Sim,Não,,,
129246,Alugado,Sim,Sim,Sim,Sim,Não,Sim
129248,Cedido-Outros,Sim,Sim,Sim,Sim,Sim,Sim
129249,Próprio-NPago,Sim,Sim,Sim,Sim,Não,Sim
129251,Alugado,Sim,Sim,Sim,Sim,Sim,Não
129253,Alugado,Sim,Nao,,Sim,Não,Sim
129263,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
129268,Alugado,Sim,Sim,Sim,Sim,Não,Sim
129270,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
129271,Alugado,Sim,Sim,Sim,Sim,Não,Sim
129276,Alugado,Sim,Sim,Sim,Sim,Não,Sim
129286,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
129287,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
129290,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
129299,Próprio-Pago,Sim,Sim,Sim,Não,Não,Sim
129303,Alugado,Sim,Sim,Sim,Sim,Não,Sim
129307,Alugado,Sim,Sim,Sim,Sim,Não,Sim
129312,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
129326,Alugado,Sim,Sim,Sim,Sim,Sim,Não
129327,Próprio-NPago,Sim,Sim,Sim,Sim,Sim,Sim
129340,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
129362,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
129407,Próprio-NPago,Sim,Sim,Sim,Sim,Sim,Sim
129466,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
129467,Próprio-NPago,Sim,Sim,Sim,Sim,Não,Sim
129486,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
129489,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
129499,Próprio-NPago,Sim,Sim,Sim,Sim,Não,Sim
129527,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
129541,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
129546,Alugado,Sim,Nao,,,,
129567,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Não
129576,Próprio-Pago,Sim,Nao,,Sim,Sim,Sim
129593,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Não
129717,Próprio-Pago,Sim,Sim,Não,,,
129728,Próprio-Pago,Sim,Sim,Não,,,
129743,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
129762,Próprio-NPago,Sim,Sim,Sim,Sim,Não,Sim
129764,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
129766,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
129802,Alugado,Sim,Nao,,,,
129804,Alugado,Sim,Sim,Sim,Sim,Sim,Sim
129831,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
129842,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
129864,Alugado,Sim,Nao,,,,
129877,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
129878,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
129880,Próprio-NPago,Sim,Sim,Sim,Sim,Sim,Sim
129896,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
129898,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
129905,Próprio-NPago,Sim,Sim,Sim,Sim,Não,Sim
129908,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Não
129909,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
129919,Próprio-NPago,Sim,Sim,Sim,Sim,Não,Sim
129970,Próprio-Pago,Sim,Nao,,,,
129976,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
129988,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
129990,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
130000,Alugado,Sim,Nao,,Sim,Sim,Não
130005,Próprio-NPago,Sim,Nao,,Sim,Não,Sim
130006,Próprio-NPago,Sim,Sim,Sim,Sim,Sim,Sim
130008,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
130044,Próprio-NPago,Sim,Sim,Sim,Sim,Sim,Não
130052,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
130053,Próprio-Pago,Sim,Sim,Sim,Não,Não,Sim
130097,Próprio-NPago,Sim,Sim,Sim,Sim,Sim,Sim
130102,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
130112,Próprio-NPago,Sim,Sim,Sim,Sim,Sim,Sim
130115,Próprio-NPago,Sim,Sim,Sim,Sim,Não,Sim
130118,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
130153,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
130164,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
130166,Alugado,Sim,Sim,Sim,Sim,Sim,Sim
130167,Próprio-Pago,Sim,Sim,Sim,Não,Não,Sim
130183,Próprio-NPago,Sim,Sim,Sim,Sim,Sim,Sim
130184,Alugado,Sim,Sim,Sim,Sim,Sim,Sim
130185,Alugado,Nao,Nao,,,,
130198,Alugado,Sim,Sim,Sim,Sim,Sim,Sim
130205,Cedido-Outros,Sim,Sim,Sim,Sim,Sim,Sim
130244,Próprio-NPago,Sim,Sim,Sim,Sim,Sim,Sim
130248,Próprio-NPago,Sim,Sim,Sim,Sim,Sim,Sim
130251,Próprio-Pago,Sim,Nao,,,,
130255,Próprio-NPago,Sim,Sim,Sim,Sim,Sim,Sim
130259,Próprio-NPago,Sim,Sim,Não,Sim,Sim,Sim
130260,Próprio-Pago,Sim,Sim,Sim,Não,Não,Sim
130266,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
130273,Próprio-NPago,Sim,Sim,Sim,Sim,Sim,Sim
130274,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
130287,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
130288,Próprio-NPago,Sim,Sim,Sim,Sim,Não,Sim
130289,Próprio-Pago,Sim,Nao,,Sim,Sim,Sim
130293,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
130294,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
130296,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
130297,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
130310,Próprio-Pago,Sim,Nao,,,,
130311,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
130315,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
130322,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
130327,Próprio-Pago,Sim,Nao,,,,
130329,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
130332,Cedido-Outros,Sim,Sim,Sim,Não,Não,Sim
130334,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
130342,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
130343,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
130347,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
130348,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
130357,Próprio-Pago,Sim,Nao,,,,
130358,Próprio-NPago,Sim,Sim,Sim,Sim,Sim,Sim
130359,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
130362,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
130363,Próprio-Pago,Sim,Sim,Não,,,
130365,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
130368,Próprio-Pago,Sim,Nao,,,,
130372,Próprio-NPago,Sim,Sim,Sim,Sim,Sim,Sim
130374,Alugado,Sim,Nao,,Sim,Sim,Não
130381,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
130382,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
130385,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
130386,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
130391,Próprio-NPago,Sim,Sim,Sim,Sim,Sim,Não
130394,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Não
130395,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
130401,Próprio-NPago,Sim,Sim,Sim,Sim,Não,Sim
130412,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
130416,Próprio-Pago,Sim,Sim,Sim,Não,Não,Sim
130417,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
130418,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
130431,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
130433,Alugado,Sim,Sim,Sim,Sim,Não,Sim
130434,Alugado,Sim,Sim,Sim,Sim,Não,Sim
130447,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
130451,Próprio-Pago,Sim,Nao,,,,
130462,Alugado,Sim,Sim,Sim,Sim,Sim,Não
130490,Próprio-NPago,Sim,Sim,Sim,Sim,Não,Sim
130500,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
130505,Próprio-Pago,Sim,Sim,Sim,Não,Não,Sim
130517,Próprio-Pago,Sim,Sim,Sim,Não,Não,Sim
130519,Próprio-Pago,Sim,Sim,Sim,Não,Sim,Sim
130524,Próprio-NPago,Sim,Sim,Sim,Sim,Sim,Sim
130536,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
130539,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
130540,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
130549,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
130550,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
130554,Próprio-NPago,Sim,Sim,Sim,Sim,Sim,Sim
130557,Próprio-Pago,Sim,Sim,Sim,Não,Sim,Sim
130565,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
130567,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
130568,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
130582,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
130590,Alugado,Sim,Sim,Sim,Sim,Não,Sim
130612,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
130613,Próprio-NPago,Sim,Sim,Sim,Sim,Não,Sim
130614,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
130616,Próprio-NPago,Sim,Sim,Sim,Sim,Sim,Sim
130623,Próprio-Pago,Nao,Nao,,,,
130629,Próprio-Pago,Sim,Nao,,,,
130662,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
130663,Próprio-NPago,Sim,Sim,Sim,Sim,Sim,Sim
130670,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
130677,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
130678,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
130679,Próprio-NPago,Sim,Sim,Sim,Sim,Não,Sim
130683,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
130686,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
130694,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
130701,Próprio-NPago,Sim,Sim,Sim,Sim,Sim,Sim
130711,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
130718,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Não
130756,Alugado,Sim,Sim,Sim,Sim,Não,Sim
130772,Próprio-Pago,Sim,Nao,,,,
130788,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Não
130802,Próprio-Pago,Sim,Nao,,,,
130809,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
130872,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
130879,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
130888,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
130903,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
130966,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
131026,Alugado,Sim,Sim,Sim,Sim,Sim,Sim
131030,Alugado,Sim,Sim,Sim,Sim,Não,Sim
131053,Próprio-Pago,Sim,Nao,,Sim,Sim,Sim
131059,Alugado,Sim,Sim,Sim,Não,Não,Sim
131083,Alugado,Sim,Sim,Sim,Não,Sim,Não
131084,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
131089,Alugado,Sim,Sim,Sim,Sim,Não,Sim
131090,Alugado,Sim,Sim,Sim,Sim,Sim,Sim
131110,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
131119,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Não
131127,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
131128,Próprio-NPago,Sim,Sim,Sim,Sim,Sim,Sim
131132,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
131141,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
131146,Próprio-NPago,Sim,Sim,Sim,Sim,Não,Sim
131150,Próprio-NPago,Sim,Sim,Sim,Sim,Não,Sim
131152,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
131156,Próprio-NPago,Sim,Sim,Sim,Sim,Não,Sim
131157,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
131158,Próprio-NPago,Sim,Sim,Sim,Sim,Sim,Sim
131166,Próprio-NPago,Sim,Sim,Sim,Sim,Sim,Sim
131169,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
131172,Próprio-NPago,Sim,Sim,Sim,Sim,Sim,Sim
131177,Alugado,Nao,Nao,,,,
131178,Próprio-Pago,Sim,Sim,Sim,Não,Não,Sim
131181,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
131186,Próprio-Pago,Sim,Sim,Sim,Não,Não,Sim
131191,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
131195,Alugado,Sim,Sim,Sim,Sim,Sim,Sim
131196,Alugado,Sim,Nao,,Sim,Sim,Sim
131203,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
131204,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
131205,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
131215,Alugado,Sim,Sim,Sim,Sim,Sim,Sim
131255,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
131324,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
131325,Próprio-Pago,Sim,Sim,Sim,Não,Não,Sim
131326,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
131327,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
131352,Próprio-NPago,Sim,Sim,Sim,Sim,Sim,Não
131360,Próprio-NPago,Sim,Sim,Sim,Sim,Sim,Sim
131407,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
131507,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Não
131517,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Não
131533,Próprio-Pago,Sim,Sim,Sim,Não,Não,Sim
131599,Próprio-NPago,Sim,Sim,Sim,Não,Não,Sim
131762,Próprio-Pago,Sim,Nao,,,,
131769,Próprio-Pago,Sim,Sim,Sim,Não,Não,Sim
131770,Próprio-Pago,Sim,Nao,,Sim,Sim,Sim
131887,Alugado,Sim,Sim,Sim,Sim,Sim,Sim
131889,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
131896,Próprio-Pago,Sim,Nao,,,,
131897,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
131911,Próprio-Pago,Sim,Sim,Sim,Não,Não,Sim
131943,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
131953,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
131981,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
132000,Alugado,Sim,Sim,Sim,Sim,Sim,Sim
132041,Alugado,Sim,Sim,Sim,Sim,Não,Sim
132046,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
132069,Próprio-NPago,Sim,Sim,Sim,Sim,Não,Sim
132075,Próprio-NPago,Sim,Sim,Sim,Sim,Não,Sim
132235,Alugado,Sim,Sim,Sim,Sim,Sim,Sim
132278,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
132280,Próprio-Pago,Nao,Nao,,,,
132440,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
132469,Próprio-Pago,Sim,Sim,Sim,Não,Não,Sim
132485,Próprio-NPago,Sim,Sim,Não,,,
132487,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
132490,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
132506,Próprio-NPago,Sim,Nao,,Sim,Não,Sim
132516,Próprio-Pago,Sim,Nao,,,,
132631,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
132635,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
132646,Próprio-NPago,Sim,Sim,Sim,Sim,Sim,Sim
132654,Próprio-Pago,Sim,Nao,,,,
132739,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
132742,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
132749,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
132763,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
132875,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
132876,Próprio-Pago,Sim,Sim,Sim,Não,Sim,Não
132887,Próprio-Pago,Sim,Nao,,,,
132922,Alugado,Sim,Nao,,Sim,Sim,Não
133017,Alugado,Sim,Sim,Sim,Sim,Sim,Não
133028,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Não
133086,Próprio-Pago,Sim,Sim,Sim,Não,Sim,Sim
133088,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
133093,Próprio-Pago,Sim,Nao,,,,
133094,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
133110,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
133175,Alugado,Sim,Sim,Não,,,
133178,Alugado,Sim,Sim,Sim,Sim,Sim,Não
133327,Próprio-Pago,Sim,Sim,Sim,Não,Sim,Não
133352,Próprio-Pago,Sim,Sim,Sim,Não,Não,Sim
133384,Alugado,Sim,Sim,Sim,Sim,Sim,Sim
133668,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
133696,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
133710,Próprio-Pago,Sim,Nao,,Sim,Sim,Não
133924,Próprio-Pago,Sim,Nao,,,,
133956,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
133962,Cedido-Outros,Sim,Nao,,,,
133973,Próprio-Pago,Sim,Nao,,Sim,Não,Sim
134018,Alugado,Sim,Nao,,,,
134032,Próprio-Pago,Sim,Sim,Sim,Não,Não,Sim
134044,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
134171,Próprio-Pago,Sim,Sim,Não,,,
134235,Próprio-NPago,Sim,Sim,Sim,Sim,Sim,Sim
134256,Próprio-Pago,Sim,Nao,,,,
134337,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
134382,Próprio-NPago,Sim,Sim,Sim,Sim,Sim,Sim
134431,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Não
134446,Próprio-NPago,Sim,Nao,,,,
134447,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
134738,Alugado,Sim,Sim,Sim,Sim,Não,Sim
134743,Alugado,Sim,Sim,Sim,Sim,Não,Sim
134764,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
134928,Próprio-NPago,Sim,Sim,Sim,Sim,Sim,Não
134937,Próprio-Pago,Sim,Nao,,,,
135020,Alugado,Sim,Sim,Sim,Sim,Não,Sim
135057,Próprio-Pago,Sim,Nao,,Sim,Sim,Não
135060,Próprio-Pago,Sim,Nao,,,,
135065,Próprio-Pago,Sim,Nao,,,,
135115,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
135123,Alugado,Sim,Sim,Sim,Sim,Não,Sim
135151,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
135158,Alugado,Sim,Sim,Sim,Sim,Não,Sim
135216,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
135222,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
135230,Cedido-Outros,Sim,Sim,Sim,Sim,Sim,Não
135237,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
135272,Próprio-Pago,Sim,Nao,,Sim,Sim,Sim
135274,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
135294,Próprio-Pago,Sim,Nao,,Sim,Sim,Sim
135312,Alugado,Sim,Sim,Não,,,
135319,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
135321,Alugado,Sim,Sim,Sim,Sim,Não,Sim
135323,Alugado,Sim,Sim,Não,Sim,Sim,Não
135425,Alugado,Sim,Nao,,,,
135453,Cedido-Empregador,Sim,Sim,Sim,Sim,Sim,Sim
135454,Outra Condição,Sim,Sim,Sim,Sim,Sim,Sim
135466,Próprio-Pago,Sim,Sim,Sim,Não,Não,Sim
135480,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
135483,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
135504,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
135509,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
135512,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
135514,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
135515,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
135527,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
135547,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
135552,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
135564,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
135567,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
135569,Próprio-Pago,Sim,Sim,Sim,Sim,Não,Sim
135682,Alugado,Sim,Sim,Sim,Sim,Sim,Sim
135685,Próprio-NPago,Sim,Sim,Sim,Sim,Sim,Sim
135846,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
135941,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
135984,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
135991,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
135994,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
135999,Alugado,Sim,Sim,Sim,Sim,Sim,Sim
136006,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
136025,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
136061,Próprio-Pago,Sim,Sim,Sim,Sim,Sim,Sim
